Kabupaten,logo,url,video
Cilacap,Cilacap.png,http://www.cilacapkab.go.id,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/Sv0sgJ2-oDI?si=jvTyExHWLvkEjXxP"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Banyumas,Banyumas.png,https://www.banyumaskab.go.id/,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/XdbSX2ay-c4?si=p_imXUhdGYdtqUJR"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Purbalingga,Purbalingga.png,https://www.purbalinggakab.go.id/,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/51Wu4ZK2ITY?si=6v4ruW9erJLJXK51"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Banjarnegara,Banjarnegara.png,https://banjarnegarakab.go.id/main/,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/eSpFpEPNM7c?si=SqrAmaP2bL0qBeeb"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Kebumen,Kebumen.png,http://www.kebumenkab.go.id/,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/jFGw8Er8yzQ?si=KbRHSLHzk0_DMGmS"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Purworejo,Purworejo.png,https://www.purworejokab.go.id/,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/dfX7cTF0gSU?si=9KTq8TtNqpPi4sip"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Wonosobo,Wonosobo.png,https://www.website.wonosobokab.go.id/,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/LrNAKb0YaUs?si=0t5v0W1dlL3Zd-kq"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Magelang,Magelang.png,https://magelangkab.go.id/,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/G1k2lKwDHGY?si=qoaMwIjI1IBSDRss"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Boyolali,Boyolali.png,https://boyolali.go.id/,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/z8ei6LZwT78?si=u7G1T4N1HQG2tyTF"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Klaten,Klaten.png,https://klatenkab.go.id/,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/JTyYTODw17w?si=mdHw5zVmX4h4sp4G"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Sukoharjo,Sukoharjo.png,https://portal.sukoharjokab.go.id/,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/aB1mAL-alUI?si=KHvN1IsnsyfWOvLy"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Wonogiri,Wonogiri.png,http://www.wonogirikab.go.id/,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/mHPBjHmwZ2A?si=XQtdHsoyNfgHf-AO"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Karanganyar,Karanganyar.png,https://www.karanganyarkab.go.id/,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/MDs1K6PFGkA?si=fQSV750eIispUN2Q"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Sragen,Sragen.png,http://www.sragenkab.go.id/,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/NnTvJvCXe9I?si=1ay-IJNUTg3UnBKH"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Grobogan,Grobogan.png,http://www.grobogankab.go.id/,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/gHW4wL-q7o4?si=xRHGm0bcGNwyoyDB"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Blora,Blora.png,http://www.blorakab.go.id/,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/LNTimMyvn8M?si=ai4Lerz-xTQA_Te-"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Rembang,Rembang.png,http://www.rembangkab.go.id/,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/q_giaIgBiGo?si=0AWt75IJZNY6aERd"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Pati,Pati.png,http://www.patikab.go.id/,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/gbIZE8PiRRw?si=LN7Tk0AqHdg3OqQe"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Kudus,Kudus.png,http://www.kuduskab.go.id/,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/YY5jjNz3YPI?si=pWhEeKun5p3n7_UZ"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Jepara,Jepara.png,http://www.jeparakab.go.id/,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/DfuzW8KjGfw?si=3_Idj4YhONhBkBzh"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Demak,Demak.png,http://www.demakkab.go.id/,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/4n5NefXdJHg?si=Gs5qfCm3svzTXNhX"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Semarang,Semarang.png,http://www.semarangkab.go.id/,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/SY_VXZ89_vc?si=H_70cqXoOsYuwLqm"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Temanggung,Temanggung.png,http://www.temanggungkab.go.id/,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/8gc_XA4HbDM?si=lAFY3F0ia_-HOG0_"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Kendal,Kendal.png,http://www.kendalkab.go.id,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/BEfAlo6rAmY?si=H0SwkQv9CLOiG2Hl"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Batang,Batang.png,http://www.batangkab.go.id,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/Yi4zuotPryQ?si=Y7xh11BSxuciu_gO"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Pekalongan,Pekalongan.png,http://www.pekalongankab.go.id/,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/9S_wtIt1G3M?si=LI9czGYLhHurxK-4"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Pemalang,Pemalang.png,http://www.pemalangkab.go.id,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/mDJ0K13_Z6o?si=cHi5BXJI_dUCO1QG"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Tegal,Tegal.png,http://www.tegalkab.go.id/,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/VnY7f8PCPkA?si=d_xq2zL1NOr1c7Eh"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Brebes,Brebes.png,http://www.brebeskab.go.id,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/Yg-QJXQgD0I?si=4PirtOITfl375AbV"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Kota Magelang,Kota_Magelang.png,http://www.magelangkab.go.id/,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/T5FtYGqpu-c?si=eDXK8Zz1L56E5hlS"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Kota Surakarta,Kota_Surakarta.png,http://www.surakarta.go.id,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/U6y01T1cZiU?si=SnI37emqvjM0FEYt"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Kota Salatiga,Kota_Salatiga.png,http://www.salatiga.go.id/,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/mAEmdLzt684?si=CHXMIrL76ef7Znw3"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Kota Semarang,Kota_Semarang.png,http://www.semarangkota.go.id,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/n2peYdtAjRo?si=Ljyi7t8idCEuZ-8V"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Kota Pekalongan,Kota_Pekalongan.png,http://www.pekalongankota.go.id/,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/GYbzTm5sTco?si=P6p-m6P_Lym9Rxii"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
Kota Tegal,Kota_Tegal.png,http://www.tegalkota.go.id/,"<iframe width=""256"" height=""192"" src=""https://www.youtube.com/embed/mHSM_nXYs2Y?si=kE_XnUofE5CVcgXj"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
